tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,4,1.1785714285714286,8.25,8,0,"[100, 0, 0]","[26.361323094804153, 37.790615166145834, 35.84806173905002]","[63.18075426932762, 18.895293146243066, 17.923952584429312]",-1.97142857,1.0,0.2636132309480415,1,-1
178,3,33,0,1,0,"[100, 0, 0]","[18.77084719799114, 38.744111626660626, 42.485041175348236]","[59.385423598913334, 19.372055813384648, 21.24252058770202]",-0.25714286,1.0,0.18770847197991142,1,1
179,1,0,0,1,0,"[0, 0, 0]","[23.233243422269283, 31.848107114925973, 44.91864946280475]","[0, 0, 0]",-0.25714286,1.0,0.2323324342226928,1,-1
180,1,0,0,1,0,"[0, 0, 0]","[32.89474260554943, 32.18680511141987, 34.91845228303071]","[0, 0, 0]",-0.25714286,1.0,0.3289474260554943,1,-1
32,4,4.833333333333333,29.0,7,0,"[100, 0, 0]","[31.06669218238457, 28.219570856955244, 40.71373696066018]","[65.5330806482942, 14.109826514164844, 20.35709283754096]",-2.05714286,1.0,0.3106669218238457,1,-1
96,4,4.65625,37.25,9,0,"[100, 0, 0]","[38.11997524533918, 33.943560518060245, 27.93646423660059]","[69.06443045852423, 16.97207197510876, 13.963497566367009]",-2.14285714,1.0,0.38119975245339177,1,-1
97,4,3.725,37.25,11,0,"[100, 0, 0]","[12.049240584193274, 19.16386026422944, 68.7868991515773]","[56.018893036617264, 9.600661726076844, 34.38044523730589]",-2.05714286,1.0,0.12049240584193274,1,-1
169,1,0,0,1,0,"[0, 0, 0]","[41.934639487111454, 30.334125971036823, 27.731234541851723]","[0, 0, 0]",-1.11428571,1.0,0.4193463948711145,1,-1
177,4,41.25,41.25,2,0,"[100, 0, 0]","[25.162089050549223, 33.81259941196632, 41.02531153748447]","[62.5810445181162, 16.906299720392138, 20.51265576149166]",-0.34285714,1.0,0.25162089050549225,1,-1
31,4,5.4375,65.25,13,0,"[100, 0, 0]","[39.96426986052717, 27.998884082045777, 32.036846057427056]","[69.96661244691421, 14.014773342439218, 16.01861421064656]",-2.14285714,1.0,0.3996426986052717,1,-1
95,4,5.590909090909091,123.0,23,0,"[100, 0, 0]","[24.194918949069354, 28.322070338793047, 47.48301071213758]","[61.33415696638539, 13.838378620467697, 24.827464413146906]",-2.22857143,1.0,0.24194918949069355,1,-1
101,4,7.535714285714286,52.75,8,0,"[100, 0, 0]","[26.128530821233078, 35.20163217260015, 38.66983700616677]","[62.6387348252036, 17.723192446846664, 19.638072727949734]",-2.31428571,1.0,0.26128530821233076,1,-1
168,1,0,0,1,0,"[0, 0, 0]","[32.310449190359506, 30.037749989063357, 37.65180082057713]","[0, 0, 0]",-1.2,1.0,0.3231044919035951,1,-1
175,4,27.84375,55.6875,3,0,"[100, 0, 0]","[27.130012831130575, 30.740586322255197, 42.129400846614224]","[63.565004505123476, 15.370295598360379, 21.064699896516142]",-0.42857143,1.0,0.27130012831130573,1,-1
176,4,4.125,4.125,2,0,"[100, 0, 0]","[26.89462117622986, 28.03773115133481, 45.06764767243532]","[63.447310179606276, 14.01886626916574, 22.533823551227986]",-0.42857143,1.0,0.2689462117622986,1,-1
187,1,0,0,1,0,"[0, 0, 0]","[49.775612270215476, 24.994539128848082, 25.229848600936442]","[0, 0, 0]",0.42857143,1.0,0.49775612270215475,1,-1
190,1,0,0,1,0,"[0, 0, 0]","[31.028480654109615, 33.94130138376595, 35.030217962124425]","[0, 0, 0]",1.2,1.0,0.31028480654109614,1,-1
195,1,0,0,1,0,"[0, 0, 0]","[39.66258294075974, 30.34440333401992, 29.99301372522033]","[0, 0, 0]",1.8,1.0,0.3966258294075974,1,-1
209,1,0,0,1,0,"[0, 0, 0]","[35.35539693093703, 39.98033834420076, 24.664264724862207]","[0, 0, 0]",3.0,1.0,0.35355396930937033,1,-1
30,4,12.229166666666666,513.625,43,0,"[100, 0, 0]","[36.45668924483755, 31.473153465892427, 32.07015728927002]","[68.22834462241877, 15.736576732946213, 16.03507864463501]",-2.4,1.0,0.3645668924483755,1,-1
44,1,0,0,1,0,"[0, 0, 0]","[18.77650215709849, 31.04451081784947, 50.178987025052045]","[0, 0, 0]",1.71428571,1.0,0.1877650215709849,1,-1
46,1,0,0,1,0,"[0, 0, 0]","[18.65314632241283, 34.58994584546892, 46.75690783211826]","[0, 0, 0]",1.71428571,1.0,0.1865314632241283,1,-1
47,1,0,0,1,0,"[0, 0, 0]","[19.733976877317613, 39.33508210825713, 40.930941014425265]","[0, 0, 0]",1.71428571,1.0,0.19733976877317613,1,-1
48,1,0,0,1,0,"[0, 0, 0]","[20.907462179179564, 44.07684017141801, 35.01569764940242]","[0, 0, 0]",1.71428571,1.0,0.20907462179179565,1,-1
49,1,0,0,1,0,"[0, 0, 0]","[29.810196667616413, 39.37650510644099, 30.813298225942603]","[0, 0, 0]",1.71428571,1.0,0.2981019666761641,1,-1
50,1,0,0,1,0,"[0, 0, 0]","[24.06909479197571, 25.88066579016234, 50.05023941786195]","[0, 0, 0]",1.71428571,1.0,0.24069094791975712,1,-1
77,1,0,0,1,0,"[0, 0, 0]","[36.238375184274965, 28.881811896689662, 34.879812919035366]","[0, 0, 0]",0.34285714,1.0,0.3623837518427496,1,-1
164,3,20,0,1,0,"[100, 0, 0]","[15.094244101003495, 30.083500651163746, 54.822255247832764]","[57.54712205050224, 15.041750325582893, 27.41112762391486]",-1.37142857,1.0,0.15094244101003496,1,2
165,4,10.0,10.0,2,0,"[100, 0, 0]","[35.33516788988456, 30.823201581396802, 33.84163052871864]","[67.6675839449421, 15.411600790698548, 16.920815264359362]",-1.28571429,1.0,0.3533516788988456,1,-1
166,1,0,0,1,0,"[0, 0, 0]","[42.23884521475209, 19.92770961622013, 37.833445169027776]","[0, 0, 0]",-1.37142857,1.0,0.4223884521475209,1,-1
167,1,0,0,1,0,"[0, 0, 0]","[39.88730847838372, 25.307777626064098, 34.804913895552176]","[0, 0, 0]",-1.28571429,1.0,0.3988730847838372,1,-1
174,4,26.984375,80.953125,4,0,"[100, 0, 0]","[17.939356905854567, 30.845580825002195, 51.21506226914324]","[58.97011909765631, 15.422786399823519, 25.607094502520177]",-0.51428571,1.0,0.17939356905854567,1,-1
188,1,0,0,1,0,"[0, 0, 0]","[31.692321106534905, 34.120824947694814, 34.18685394577029]","[0, 0, 0]",1.02857143,1.0,0.31692321106534904,1,-1
189,1,0,0,1,0,"[0, 0, 0]","[23.40175492362878, 31.637704493918484, 44.96054058245273]","[0, 0, 0]",1.11428571,1.0,0.2340175492362878,1,-1
194,1,0,0,1,0,"[0, 0, 0]","[28.93411833961214, 39.31881333307615, 31.747068327311716]","[0, 0, 0]",1.71428571,1.0,0.2893411833961214,1,-1
208,1,0,0,1,0,"[0, 0, 0]","[31.052173889169993, 44.22597959171887, 24.721846519111143]","[0, 0, 0]",2.91428571,1.0,0.3105217388916999,1,-1
28,4,3.75,7.5,3,0,"[100, 0, 0]","[29.018210474646743, 20.896834673572158, 50.08495485178109]","[64.50928732785974, 10.448395205166964, 25.042317466973294]",-2.48571429,1.0,0.29018210474646744,1,-1
29,4,3.75,7.5,3,0,"[100, 0, 0]","[31.046536410852337, 20.832215743302264, 48.1212478458454]","[65.52326650175858, 10.415737296937005, 24.06099620130441]",-2.48571429,1.0,0.3104653641085234,1,-1
59,1,0,0,1,0,"[0, 0, 0]","[38.79657266025909, 42.04813614070055, 19.155291199040356]","[0, 0, 0]",0.94285714,1.0,0.3879657266025909,1,-1
60,1,0,0,1,0,"[0, 0, 0]","[31.202020099737272, 33.88501156723849, 34.912968333024224]","[0, 0, 0]",0.94285714,1.0,0.3120202009973727,1,-1
74,1,0,0,1,0,"[0, 0, 0]","[36.42231248554948, 31.556837792440383, 32.02084972201012]","[0, 0, 0]",0.25714286,1.0,0.36422312485549485,1,-1
75,1,0,0,1,0,"[0, 0, 0]","[41.07609949231029, 28.848890493900292, 30.075010013789417]","[0, 0, 0]",0.25714286,1.0,0.4107609949231029,1,-1
76,1,0,0,1,0,"[0, 0, 0]","[42.999855404289306, 34.80329602677713, 22.196848568933557]","[0, 0, 0]",0.25714286,1.0,0.42999855404289306,1,-1
91,4,25.0,25.0,2,0,"[100, 0, 0]","[31.296014557220243, 29.77358282726053, 38.930402615519235]","[65.64800727864296, 14.886791413324376, 19.465201308032658]",-1.45714286,1.0,0.3129601455722024,1,-1
100,4,4.1375,41.375,11,0,"[100, 0, 0]","[33.15868174179629, 28.933929455557404, 37.907388802646295]","[66.58468541988621, 14.457309785677866, 18.95800479443592]",-2.14285714,1.0,0.3315868174179629,1,-1
163,1,0,0,1,0,"[0, 0, 0]","[31.279109635688933, 29.267230363607798, 39.45366000070326]","[0, 0, 0]",-1.45714286,1.0,0.31279109635688934,1,-1
173,4,16.5,33.0,3,0,"[100, 0, 0]","[34.97600953400474, 30.186779549058457, 34.8372109169368]","[67.15863872892257, 15.486305329237426, 17.355055941840003]",-0.6,1.0,0.34976009534004737,1,-1
185,1,0,0,1,0,"[0, 0, 0]","[37.01334414867429, 35.025142805229194, 27.961513046096513]","[0, 0, 0]",-0.6,1.0,0.37013344148674293,1,-1
